"species","window","clr_cs","clr_vag","gap","se","p","n_cs","n_vag","q"
"species:Bacteroides uniformis","d0_7",0.061931007892381,3.56002824132186,-3.49809723342948,0.302472500247945,6.37928618623658e-12,395,432,4.69747437350148e-11
"species:Bifidobacterium adolescentis","d0_7",-0.0715864864845833,2.50324348105441,-2.57482996753899,0.281204238053091,0.000411987179850295,395,432,0.000926971154663163
"species:Bifidobacterium longum","d0_7",2.35716374006681,8.31978273384661,-5.9626189937798,0.46813410175142,1.11503659847112e-23,395,432,2.25794911190402e-22
"species:Clostridium perfringens","d0_7",4.01637597319794,1.76662308466891,2.24975288852903,0.405389026922616,6.16151574206469e-12,395,432,4.69747437350148e-11
"genus:Enterobacter","d0_7",3.23452040382214,1.24375648964172,1.99076391418042,0.370965826169339,1.04672048806265e-09,395,432,5.65229063553829e-09
"species:Enterococcus faecalis","d0_7",10.0756617412522,7.57738187732155,2.49827986393066,0.525182878381266,4.30508961812848e-11,395,432,2.49080185048862e-10
"species:Escherichia coli","d0_7",3.75508503205687,9.62952047625416,-5.87443544419729,0.513816401649569,3.99760926892128e-16,395,432,4.62580501118034e-15
"species:Haemophilus haemolyticus","d0_7",1.46631880524691,0.38345702756688,1.08286177768003,0.23095734086287,1.38763260659758e-07,395,432,5.35229719687637e-07
"species:Klebsiella michiganensis","d0_7",1.94960280321368,0.778637329024092,1.17096547418958,0.30802078349161,4.04845077905946e-07,395,432,1.42575875262529e-06
"species:Klebsiella oxytoca","d0_7",2.49450642305527,1.07624742899032,1.41825899406494,0.340500944303525,5.61352853090114e-09,395,432,2.52608783890551e-08
"species:Parabacteroides distasonis","d0_7",0.100101601232744,3.73501587932123,-3.63491427808848,0.323892644864794,3.96395882047919e-11,395,432,2.4698512650678e-10
"species:Phocaeicola dorei","d0_7",0.0144445751609084,2.79843495145022,-2.78399037628931,0.294682727234988,1.18332371495856e-05,395,432,3.42318646113011e-05
"species:Phocaeicola vulgatus","d0_7",-0.0408417149922141,4.81358604089215,-4.85442775588436,0.339704097247148,1.48784963217801e-20,395,432,2.41031640412838e-19
"species:Streptococcus parasanguinis","d0_7",8.81162207065967,8.10402457462824,0.707597496031434,0.436303604433645,0.000161481463656132,395,432,0.000396363592610507
"species:Veillonella dispar","d0_7",4.76486422920374,1.8393586745038,2.92550555469994,0.380162217132757,0,395,432,0
"species:Bifidobacterium breve","d0_7",2.61176306471712,5.12761022228274,-2.51584715756562,0.466892296570675,0.000781758492726236,395,432,0.00166637994502171
"species:Collinsella aerofaciens","d0_7",0.108895104150395,2.60285877507475,-2.49396367092435,0.288190616272619,0.000107261917893365,395,432,0.00028026501126976
"species:Gemella sanguinis","d0_7",0.841247706876495,0.496908230837861,0.344339476038634,0.192369716648388,0.000122871177045125,395,432,0.000311017666895473
"species:Haemophilus parainfluenzae","d0_7",5.12971179167218,2.30835275784144,2.82135903383074,0.384816844695139,2.22044604925031e-16,395,432,2.99760216648792e-15
"species:Rothia mucilaginosa","d0_7",6.31789662835459,4.01594156660682,2.30195506174778,0.356297275694653,6.29940544172314e-13,395,432,6.37814800974468e-12
"species:Staphylococcus epidermidis","d0_7",11.9351986562118,11.0338508573762,0.901347798835644,0.382106724322463,0.00255260780566902,395,432,0.00480840075021373
"species:Staphylococcus haemolyticus","d0_7",2.20294509774555,1.78127189595749,0.421673201788058,0.337243711569816,0.00488103767949899,395,432,0.00859487069650909
"species:Staphylococcus hominis","d0_7",3.63189962227014,6.70452572152099,-3.07262609925085,0.437563749707896,2.69592915936671e-09,395,432,1.28453095240414e-08
"species:Streptococcus mitis","d0_7",6.51882333295709,5.98405480937802,0.534768523579068,0.353031062888351,0.104812646300475,395,432,0.157218969450712
"species:Streptococcus thermophilus","d0_7",1.45754783947143,1.2706233854221,0.186924454049325,0.267326848506142,0.00439137556935165,395,432,0.00808412320721554
"species:Veillonella infantium","d0_7",3.97682675924419,1.23094572860354,2.74588103064065,0.330976244718412,0,395,432,0
"species:Veillonella parvula","d0_7",5.89825659231292,1.80834109710838,4.08991549520454,0.403095501794952,0,395,432,0
"species:Bacteroides uniformis","d8_30",0.0115586664111707,4.29880058393361,-4.28724191752244,0.539429588530134,1.23316369156938e-09,186,163,6.24289118856997e-09
"species:Bifidobacterium adolescentis","d8_30",0.0481353837439127,2.63103755626498,-2.58290217252106,0.504715757903087,0.00455848944229642,186,163,0.00820528099613356
"species:Bifidobacterium longum","d8_30",5.53404309623683,9.82153321013235,-4.28749011389552,0.822002079900046,1.98349211997003e-06,186,163,6.42651446870291e-06
"species:Clostridium perfringens","d8_30",7.08353126628121,2.16039698642173,4.92313427985948,0.65854985560547,4.27813340309058e-12,186,163,3.85032006278152e-11
"genus:Enterobacter","d8_30",3.12960830976082,1.10220571528707,2.02740259447375,0.529755549846376,0.000864803180081308,186,163,0.00179612968170733
"species:Enterococcus faecalis","d8_30",11.2098321602911,8.21979914416691,2.9900330161242,0.693803990048147,1.98567654097204e-07,186,163,7.31089999176068e-07
"species:Escherichia coli","d8_30",6.46482962177105,11.0814432570059,-4.61661363523482,0.769193365723963,4.58737373558547e-06,186,163,1.37621212067564e-05
"species:Haemophilus haemolyticus","d8_30",0.80180254373152,0.725260858557673,0.0765416851738473,0.329034623221627,0.456958234036239,186,163,0.554165503062777
"species:Klebsiella michiganensis","d8_30",4.08377549589969,2.20386612201182,1.87990937388788,0.633831943844116,0.00527256225095596,186,163,0.00908675621973261
"species:Klebsiella oxytoca","d8_30",4.76355035319672,1.93667356865447,2.82687678454225,0.621370241907245,2.14619105398661e-06,186,163,6.68621059126598e-06
"species:Parabacteroides distasonis","d8_30",-0.052775125745367,4.5008418464737,-4.55361697221907,0.545344036732428,1.54401844282242e-11,186,163,1.04221244890513e-10
"species:Phocaeicola dorei","d8_30",-0.139484235334347,2.97146360568161,-3.11094784101595,0.493791969631675,1.69201816173021e-05,186,163,4.72598176207403e-05
"species:Phocaeicola vulgatus","d8_30",-0.0260337863739041,4.03501506854396,-4.06104885491787,0.536706550427737,5.65724726603866e-08,186,163,2.41177383446911e-07
"species:Streptococcus parasanguinis","d8_30",7.12327033456946,6.9381595516872,0.18511078288226,0.629182616744666,0.0909682923462614,186,163,0.141700609231676
"species:Veillonella dispar","d8_30",4.9477980840941,3.36144157856358,1.58635650553053,0.605283672771477,0.00240951155082469,186,163,0.00464691513373334
"species:Bifidobacterium breve","d8_30",4.7737798881075,5.81982628184972,-1.04604639374222,0.822047082164952,0.178379069188708,186,163,0.253486045689217
"species:Collinsella aerofaciens","d8_30",-0.0297713963657384,3.53278617326994,-3.56255756963568,0.530027153176865,1.17434223012139e-07,186,163,4.75608603199162e-07
"species:Gemella sanguinis","d8_30",0.21976752172099,-0.0206051429119815,0.240372664632972,0.210574581288496,0.129004995272689,186,163,0.189989174856142
"species:Haemophilus parainfluenzae","d8_30",4.0169937419595,3.67816499112777,0.338828750831736,0.587160750566759,0.412576517906898,186,163,0.522167155475918
"species:Rothia mucilaginosa","d8_30",3.38829164862949,2.89959602785568,0.488695620773812,0.511536893487096,0.345277730553252,186,163,0.451088647980861
"species:Staphylococcus epidermidis","d8_30",11.5722903237788,10.4490023954281,1.12328792835069,0.558327433314234,0.0102394474481409,186,163,0.0172790675687377
"species:Staphylococcus haemolyticus","d8_30",0.54742868093266,0.669833563837894,-0.122404882905234,0.341223054746424,0.45889076816223,186,163,0.554165503062777
"species:Staphylococcus hominis","d8_30",4.95055865024182,7.54197697196999,-2.59141832172818,0.690436795143695,0.00031150692042001,186,163,0.000742119428059437
"species:Streptococcus mitis","d8_30",6.18052702174786,5.43640534420863,0.744121677539226,0.557049107849309,0.226007389372017,186,163,0.310281331171752
"species:Streptococcus thermophilus","d8_30",1.82155125546161,1.43199163995548,0.389559615506136,0.437859347138222,0.380021735542542,186,163,0.488599374268983
"species:Veillonella infantium","d8_30",3.79323605479911,2.31271858301515,1.48051747178396,0.513665692921409,0.00139289231814765,186,163,0.002820606944249
"species:Veillonella parvula","d8_30",6.40668877571706,4.43106143321654,1.97562734250052,0.656588104835347,0.00229323842284668,186,163,0.00453054420123368
"species:Bacteroides uniformis","d91+",1.32555075346871,5.48228652734363,-4.15673577387492,0.725272604618632,1.69937906872453e-06,134,157,5.73540435694529e-06
"species:Bifidobacterium adolescentis","d91+",2.93719538783839,3.22617486892729,-0.288979481088897,0.750402755757586,0.880569847883196,134,157,0.891576970981736
"species:Bifidobacterium longum","d91+",14.8336680931855,14.2487078390937,0.584960254091781,0.520401163495907,0.021300196245545,134,157,0.0345063179177829
"species:Clostridium perfringens","d91+",2.32811879350422,1.42489070493071,0.903228088573513,0.574531980167436,0.0757809974396302,134,157,0.12035805475706
"genus:Enterobacter","d91+",1.1915634396007,1.59693633966603,-0.405372900065329,0.494499152569199,0.7718075146847,134,157,0.822584324861325
"species:Enterococcus faecalis","d91+",7.23120550411566,6.21539964437555,1.0158058597401,0.77357755625928,0.159922469848353,134,157,0.231316429602082
"species:Escherichia coli","d91+",13.6909336996261,12.9205621819485,0.770371517677548,0.37494238392106,0.0995323556307341,134,157,0.152115486907348
"species:Haemophilus haemolyticus","d91+",-0.0226001016934098,0.0878262942037715,-0.110426395897181,0.295197188450755,0.859663814440522,134,157,0.881427455312434
"species:Klebsiella michiganensis","d91+",1.98157760110305,1.88919059129728,0.0923870098057646,0.540982806734067,0.421197826906161,134,157,0.524877291990755
"species:Klebsiella oxytoca","d91+",2.30057099599142,2.45697762223131,-0.156406626239888,0.588572814250885,0.718926652668649,134,157,0.786933227921089
"species:Parabacteroides distasonis","d91+",0.72544271812945,3.67671471600539,-2.95127199787594,0.621606826751734,0.00036428042166668,134,157,0.000843048975857174
"species:Phocaeicola dorei","d91+",0.766329317639612,3.69052456447455,-2.92419524683494,0.671043129547386,0.000450152629664203,134,157,0.000985469270345959
"species:Phocaeicola vulgatus","d91+",1.49393468712156,5.29975376058695,-3.8058190734654,0.75124253601966,3.06641506864621e-05,134,157,8.27932068534478e-05
"species:Streptococcus parasanguinis","d91+",6.90260350803469,7.8540694901073,-0.951465982072609,0.541445351379669,0.320696799855123,134,157,0.432940679804416
"species:Veillonella dispar","d91+",6.24413435442115,6.2462753355661,-0.00214098114494199,0.631902859739758,0.826859216479787,134,157,0.858661494036702
"species:Bifidobacterium breve","d91+",9.99999793695006,10.6627139634918,-0.662716026541737,0.833725859175305,0.737824203152299,134,157,0.796850139404483
"species:Collinsella aerofaciens","d91+",2.64751790013162,4.58139008407498,-1.93387218394336,0.764168046043142,0.0169460115688203,134,157,0.0280127946341724
"species:Gemella sanguinis","d91+",1.60732829056843,2.12681165935444,-0.519483368786019,0.483513204944716,0.492118856102073,134,157,0.577704744119825
"species:Haemophilus parainfluenzae","d91+",5.55481400299822,5.26933835081779,0.285475652180427,0.647628544758414,0.587139990156017,134,157,0.669835763417428
"species:Rothia mucilaginosa","d91+",1.39705518303564,1.34219999110651,0.0548551919291351,0.445927299365341,0.534432948254414,134,157,0.618415268694393
"species:Staphylococcus epidermidis","d91+",-0.304104482109464,-0.276370320230953,-0.0277341618785111,0.212444360015329,0.465225360595912,134,157,0.554165503062777
"species:Staphylococcus haemolyticus","d91+",-0.525079597732662,-0.590480475126297,0.0654008773936344,0.118350651609843,0.613384112882536,134,157,0.690057126992853
"species:Staphylococcus hominis","d91+",-0.413299528409041,-0.6499409694663,0.236641441057259,0.121655858081877,0.342975558086377,134,157,0.451088647980861
"species:Streptococcus mitis","d91+",5.60901010979193,5.59115378444531,0.0178563253466244,0.591615489589102,0.974913043534148,134,157,0.974913043534148
"species:Streptococcus thermophilus","d91+",6.52503155525484,6.38840693787018,0.136624617384657,0.745579607652581,0.710581797447722,134,157,0.786933227921089
"species:Veillonella infantium","d91+",6.05329534692156,5.27571795614953,0.777577390772034,0.596728862981246,0.195348386940607,134,157,0.272814126589468
"species:Veillonella parvula","d91+",10.3066148747394,10.3714458646921,-0.0648309899526485,0.608632556766414,0.808399372194258,134,157,0.850394144775778
